"sample_id","extraction_id","quant","plate","well"
"APCL12_082","E1747",158.716,"E1687-E1782","E8"
"APCL12_128","E1793",25.197,"E1783-E1878","C2"
"APCL12_255","E2299",72.61,"E2258-E2353","B6"
"APCL13_208","E0331",12.82,"E0247-E0342","E11"
"APCL13_271","E0394",235.321,"E0343-E0438","D7"
"APCL13_272","E0395",104.474,"E0343-E0438","E7"
"APCL13_273","E0396",398.409,"E0343-E0438","F7"
"APCL13_275","E0398",250.001,"E0343-E0438","H7"
"APCL13_276","E0399",172.426,"E0343-E0438","A8"
"APCL13_281","E0404",18.034,"E0343-E0438","F8"
"APCL13_299","E0422",47.692,"E0343-E0438","H10"
"APCL13_320","E0443",11.633,"E0439-E0534","E1"
"APCL13_323","E0446",31.673,"E0439-E0534","H1"
"APCL13_336","E0459",18.472,"E0439-E0534","E3"
"APCL13_337","E0460",31.276,"E0439-E0534","F3"
"APCL13_345","E0468",13.849,"E0439-E0534","F4"
"APCL13_361","E0484",46.879,"E0439-E0534","F6"
"APCL13_363","E0486",88.94,"E0439-E0534","H6"
"APCL13_371","E0494",23.288,"E0439-E0534","H7"
"APCL13_378","E0501",22.719,"E0439-E0534","G8"
"APCL13_386","E0509",25.789,"E0439-E0534","G9"
"APCL13_394","E0517",107.087,"E0439-E0534","G10"
"APCL13_396","E0519",23.384,"E0439-E0534","A11"
"APCL13_399","E0522",33.174,"E0439-E0534","D11"
"APCL13_403","E0526",28.632,"E0439-E0534","H11"
"APCL13_410","E0533",28.422,"E0439-E0534","G12"
"APCL14_444","E1477",17.857,"E1399-E1494","G10"
"APCL14_490","E1331",18.516,"E1303-E1398","E4"
"APCL14_495","E1334",47.977,"E1303-E1398","H4"
"APCL14_498","E1337",63.461,"E1303-E1398","C5"
"APCL14_502","E1341",38.23,"E1303-E1398","G5"
"APCL14_509","E1348",65.995,"E1303-E1398","F6"
"APCL14_512","E1351",63.349,"E1303-E1398","A7"
"APCL14_516","E1355",68.455,"E1303-E1398","E7"
"APCL14_517","E1356",61.659,"E1303-E1398","F7"
"APCL14_518","E1357",47.101,"E1303-E1398","G7"
"APCL14_529","E1368",95.703,"E1303-E1398","B9"
"APCL14_533","E1372",63.098,"E1303-E1398","F9"
"APCL14_536","E1375",81.539,"E1303-E1398","A10"
"APCL14_539","E1378",83.745,"E1303-E1398","D10"
"APCL14_549","E1388",271.277,"E1303-E1398","F11"
"APCL14_550","E1389",26.208,"E1303-E1398","G11"
"APCL15_006","E2831",11.088,"E2738-E2833","F12"
"APCL15_008","E2808",13.501,"E2738-E2833","G9"
"APCL15_009","E2760",11.092,"E2738-E2833","G3"
"APCL15_084","E2519",11.029,"E2450-E2545","F9"
"APCL15_146","E2392",25.33,"E2354-E2449","G5"
"APCL15_154","E2942",12.496,"E2901-E2967","F7"
"APCL15_353914","E2602",19.595,"E2546-E2641","A8"
"APCL15_355443","E2941",184.039,"E2901-E2967","E7"
"APCL15_355518","E2572",21.195,"E2546-E2641","C4"
"APCL15_369712","E2630",14.23,"E2546-E2641","E11"
"APCL15_371455","E2938",94.929,"E2901-E2967","B7"
"APCL15_371560","E2948",35.79,"E2901-E2967","A9"
"APCL15_374004","E2844",75.015,"E2834-E2900","E2"
"APCL15_374493","E2723",18.081,"E2642-E2737","B11"
"APCL15_402943","E2607",12.728,"E2546-E2641","F8"
"APCL15_404045","E2752",14.646,"E2738-E2833","G2"
"APCL15_404845","E2756",15.517,"E2738-E2833","C3"
"APCL15_405068","E2751",10.303,"E2738-E2833","F2"
"APCL15_407280","E2583",13.329,"E2546-E2641","F5"
"APCL16_002","E2969",207.36,"E2968-E3063","B1"
"APCL16_034","E3002",79.776,"E2968-E3063","C5"
"APCL16_039","E3007",147.785,"E2968-E3063","H5"
"APCL16_042","E3010",27.958,"E2968-E3063","C6"
"APCL16_047","E3015",85.197,"E2968-E3063","H6"
"APCL16_048","E3016",62.725,"E2968-E3063","A7"
"APCL16_050","E3018",31.337,"E2968-E3063","C7"
"APCL16_052","E3020",99.463,"E2968-E3063","E7"
"APCL16_053","E3021",214.182,"E2968-E3063","F7"
"APCL16_054","E3022",62.691,"E2968-E3063","G7"
"APCL16_055","E3023",212.927,"E2968-E3063","H7"
"APCL16_056","E3024",179.153,"E2968-E3063","A8"
"APCL16_057","E3025",115.157,"E2968-E3063","B8"
"APCL16_058","E3026",32.778,"E2968-E3063","C8"
"APCL16_059","E3027",167.284,"E2968-E3063","D8"
"APCL16_060","E3029",45.129,"E2968-E3063","F8"
"APCL16_061","E3030",23.468,"E2968-E3063","G8"
"APCL16_062","E3031",101.796,"E2968-E3063","H8"
"APCL16_063","E3032",32.056,"E2968-E3063","A9"
"APCL16_065","E3034",171.171,"E2968-E3063","C9"
"APCL16_066","E3035",98.848,"E2968-E3063","D9"
"APCL16_067","E3036",214.254,"E2968-E3063","E9"
"APCL16_068","E3037",189.716,"E2968-E3063","F9"
"APCL16_069","E3038",140.316,"E2968-E3063","G9"
"APCL16_070","E3039",194.843,"E2968-E3063","H9"
"APCL16_073","E3042",132.579,"E2968-E3063","C10"
"APCL16_075","E3044",31.283,"E2968-E3063","E10"
"APCL16_076","E3045",134.93,"E2968-E3063","F10"
"APCL16_078","E3047",16.987,"E2968-E3063","H10"
"APCL16_079","E3048",156.252,"E2968-E3063","A11"
"APCL16_081","E3050",136.019,"E2968-E3063","C11"
"APCL16_082","E3051",19.53,"E2968-E3063","D11"
"APCL16_086","E3055",156.882,"E2968-E3063","H11"
"APCL16_087","E3056",100.726,"E2968-E3063","A12"
"APCL17_071","E3858",17.373,"E3819-E3912","A6"
"APCL17_072","E3859",12.169,"E3819-E3912","B6"
"APCL17_073","E3860",88.032,"E3819-E3912","C6"
"APCL17_074","E3861",98.521,"E3819-E3912","D6"
"APCL17_075","E3862",72.449,"E3819-E3912","E6"
"APCL17_076","E3863",169.994,"E3819-E3912","F6"
"APCL17_077","E3864",32.753,"E3819-E3912","G6"
"APCL17_078","E3865",80.48,"E3819-E3912","H6"
